EmployeeID,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,JobLevel,BusinessTravel,EmploymentType,WorkLocation,RemoteWork,DateOfJoining,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,MonthlyIncome,AnnualSalary,SalaryHikePercent,Bonus,StockOptionLevel,OverTime,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,NumberOfProjects,PromotionInLast5Years,EngagementScore,AbsenteeismDays,ManagerRating,TeamSize,Attrition,DistanceFromHome,HealthIssues,JobInvolvement,StressLevel,HiringSource,CostToHire,ReplacementCost,Region,AgeGroup
18,Male,55,Divorced,High School,IT,Analyst,2,Non-Travel,Contract,Ahmedabad,No,16-08-2020,5.5,9,0,123033,1476396,10,1542,1,Yes,4,2,1,2,10,No,5,4,2,5,No,8,No,1,1,Referral,36256,77854,East,45-54
19,Female,26,Divorced,Master,Marketing,Specialist,3,Travel_Frequently,Contract,Delhi,Yes,03-07-2022,3.6,2,1,111267,1335204,24,13116,2,Yes,3,1,3,1,14,Yes,63,16,1,10,No,1,No,1,2,Referral,46395,42700,North,25-34
20,Female,41,Divorced,PhD,Marketing,Specialist,3,Non-Travel,Contract,Ahmedabad,No,16-04-2020,5.9,8,0,40559,486708,18,42356,1,No,3,4,3,1,12,No,96,15,4,8,No,12,No,4,1,Consultancy,19337,66427,West,35-44
21,Female,48,Single,High School,Finance,Analyst,1,Travel_Rarely,Full-Time,Pune,No,05-06-2024,1.7,2,5,104665,1255980,22,49407,0,Yes,1,2,2,4,2,Yes,5,0,2,3,No,18,No,3,1,Campus,33833,24158,North,45-54
22,Male,33,Single,Bachelor,Sales,Analyst,1,Travel_Rarely,Contract,Bangalore,Yes,14-12-2017,8.2,4,4,92474,1109688,10,15106,0,Yes,1,1,1,2,3,Yes,85,13,1,3,No,19,Yes,1,4,Referral,14544,57744,West,25-34
23,Male,28,Divorced,Bachelor,HR,Executive,3,Non-Travel,Contract,Bangalore,Yes,16-09-2017,8.4,5,4,56187,674244,21,19198,2,Yes,3,1,1,2,11,Yes,38,1,2,4,No,2,No,2,3,Campus,20209,73413,North,25-34
24,Female,37,Single,High School,Finance,Executive,1,Travel_Frequently,Full-Time,Bangalore,No,25-06-2023,2.7,7,4,139803,1677636,6,7941,0,No,1,2,3,3,11,Yes,23,15,3,13,No,22,No,4,4,Consultancy,28271,53434,North,35-44
25,Female,39,Single,High School,HR,Specialist,2,Travel_Rarely,Contract,Pune,No,30-12-2023,2.1,0,4,48732,584784,13,16907,1,No,2,1,2,2,11,Yes,26,14,1,8,No,15,No,2,3,Campus,14432,84291,North,35-44
26,Male,35,Divorced,Master,Operations,Executive,4,Non-Travel,Contract,Mumbai,Yes,05-01-2023,3.1,9,7,99714,1196568,23,5126,2,Yes,3,2,3,3,2,No,38,2,3,11,Yes,7,Yes,1,3,Referral,14632,23596,West,25-34
27,Male,38,Divorced,PhD,Operations,Executive,1,Non-Travel,Contract,Ahmedabad,Yes,24-09-2018,7.4,5,3,27561,330732,6,10167,2,Yes,2,1,1,1,6,Yes,70,5,3,6,No,11,No,2,2,Campus,30119,47446,North,35-44
28,Male,57,Divorced,Bachelor,HR,Specialist,4,Non-Travel,Contract,Ahmedabad,No,01-04-2015,10.9,7,5,44818,537816,23,38328,1,Yes,3,4,2,3,12,Yes,70,3,3,6,Yes,12,Yes,1,2,Referral,11828,21917,East,55-64
29,Male,23,Single,Bachelor,HR,Executive,5,Non-Travel,Contract,Bangalore,No,01-12-2015,10.2,7,1,125292,1503504,24,8512,2,Yes,1,1,1,3,8,No,35,16,1,14,No,12,No,2,1,Consultancy,46298,90792,South,18-24
30,Male,42,Single,PhD,IT,Manager,5,Travel_Frequently,Contract,Delhi,Yes,21-11-2022,3.3,4,4,144450,1733400,23,23930,1,No,2,4,1,1,9,No,40,7,3,10,Yes,23,Yes,3,1,LinkedIn,12192,54016,East,35-44
31,Male,59,Divorced,Bachelor,Operations,Analyst,3,Travel_Frequently,Contract,Bangalore,Yes,21-01-2021,5.1,0,3,38381,460572,11,922,0,No,1,1,1,1,7,Yes,68,1,2,7,No,27,No,1,2,Referral,33710,49486,West,55-64
32,Female,35,Single,PhD,Marketing,Team Lead,4,Travel_Rarely,Contract,Delhi,Yes,19-05-2020,5.8,2,2,84435,1013220,8,33561,2,Yes,1,4,3,2,8,No,6,7,3,12,No,14,Yes,4,2,LinkedIn,17783,37368,North,25-34
33,Male,32,Single,PhD,Marketing,Executive,1,Non-Travel,Contract,Ahmedabad,No,24-10-2023,2.3,2,7,119131,1429572,13,3797,2,Yes,1,2,1,1,14,No,54,0,3,8,Yes,21,Yes,1,1,LinkedIn,49224,33224,East,25-34
34,Female,31,Married,Bachelor,HR,Analyst,2,Non-Travel,Full-Time,Delhi,Yes,08-08-2019,6.5,2,5,69688,836256,11,5299,1,Yes,4,1,1,1,6,No,28,17,1,3,No,7,Yes,4,1,LinkedIn,47011,72853,South,25-34
35,Female,27,Single,PhD,Marketing,Analyst,3,Non-Travel,Contract,Pune,Yes,31-10-2020,5.3,7,2,95452,1145424,22,33536,1,Yes,3,2,2,2,1,No,94,5,3,6,Yes,23,Yes,3,4,Referral,44249,95629,South,25-34
36,Male,48,Married,Master,Marketing,Manager,1,Non-Travel,Full-Time,Delhi,Yes,20-11-2018,7.3,7,5,132726,1592712,19,3300,2,Yes,1,4,3,4,3,No,88,13,4,10,No,14,Yes,4,4,Consultancy,31389,86358,West,45-54
37,Male,53,Divorced,High School,IT,Team Lead,3,Travel_Rarely,Contract,Mumbai,No,23-02-2017,9,0,4,24425,293100,24,19978,1,Yes,2,3,3,3,4,Yes,37,5,4,11,Yes,3,No,2,2,Consultancy,39975,65648,South,45-54
38,Female,43,Single,Bachelor,IT,Manager,1,Travel_Frequently,Full-Time,Ahmedabad,Yes,12-12-2017,8.2,8,5,87642,1051704,15,41401,0,Yes,2,3,1,3,2,No,85,9,4,11,No,6,No,1,1,LinkedIn,22875,21622,North,35-44
39,Male,51,Married,Master,HR,Specialist,5,Travel_Rarely,Full-Time,Mumbai,Yes,06-04-2016,9.9,0,9,81396,976752,18,20609,1,Yes,1,3,1,4,10,Yes,21,10,4,13,Yes,7,No,3,2,Referral,33150,88247,South,45-54
40,Male,56,Divorced,PhD,IT,Analyst,4,Non-Travel,Full-Time,Delhi,Yes,14-02-2016,10,1,8,109399,1312788,6,1524,0,Yes,4,1,1,1,8,No,25,6,3,5,Yes,12,Yes,2,2,Referral,33051,71474,North,55-64
41,Male,37,Married,High School,Sales,Specialist,3,Non-Travel,Full-Time,Ahmedabad,Yes,23-06-2015,10.7,4,5,89626,1075512,20,5319,0,No,1,4,3,3,9,Yes,26,14,4,12,Yes,21,No,2,3,Referral,47198,28820,East,35-44
42,Female,43,Single,Bachelor,Operations,Specialist,3,Travel_Frequently,Full-Time,Mumbai,Yes,30-01-2017,9.1,0,7,100559,1206708,7,35435,0,No,3,1,3,4,7,Yes,39,14,4,3,No,4,Yes,2,1,LinkedIn,37345,99273,West,35-44
43,Male,54,Married,Master,Marketing,Team Lead,2,Non-Travel,Full-Time,Bangalore,Yes,16-01-2020,6.1,0,4,94038,1128456,16,12984,2,Yes,2,2,1,3,4,Yes,65,16,3,10,No,18,No,2,2,LinkedIn,35280,55400,East,45-54
44,Female,32,Divorced,Bachelor,Marketing,Team Lead,5,Non-Travel,Contract,Delhi,No,06-02-2015,11,1,8,109431,1313172,11,14899,2,No,4,1,3,2,3,Yes,74,10,2,11,No,26,Yes,1,2,Campus,24199,70948,South,25-34
45,Male,55,Married,High School,Marketing,Analyst,2,Non-Travel,Contract,Mumbai,No,20-06-2018,7.7,0,7,137424,1649088,7,28831,2,No,1,4,1,3,9,No,14,4,2,13,No,9,No,3,3,Consultancy,42284,85160,East,45-54
46,Female,29,Divorced,PhD,Sales,Team Lead,3,Non-Travel,Contract,Bangalore,Yes,03-08-2020,5.6,5,7,45931,551172,9,5295,1,No,2,1,4,4,12,Yes,77,16,2,10,No,13,No,2,1,Campus,29129,21591,West,25-34
47,Male,53,Married,PhD,IT,Specialist,1,Non-Travel,Full-Time,Ahmedabad,Yes,12-07-2024,1.6,8,4,138618,1663416,14,20670,2,No,4,3,1,3,10,Yes,31,9,2,13,No,21,No,3,3,Referral,28787,68845,North,45-54
48,Female,52,Single,Bachelor,IT,Manager,1,Travel_Rarely,Contract,Mumbai,No,11-03-2020,6,7,2,53062,636744,20,5445,2,No,3,2,1,4,12,No,79,4,1,8,No,4,No,4,4,Referral,17491,70192,West,45-54
49,Female,21,Married,Bachelor,IT,Executive,2,Travel_Frequently,Contract,Pune,No,12-05-2016,9.8,3,2,93609,1123308,24,35196,2,Yes,3,1,2,3,3,Yes,58,1,2,4,Yes,3,Yes,1,3,Campus,45612,95932,East,18-24
50,Male,34,Married,Master,IT,Analyst,1,Travel_Frequently,Contract,Bangalore,Yes,06-11-2015,10.3,4,4,80545,966540,24,48901,2,Yes,1,3,3,1,2,Yes,35,16,1,10,No,12,No,3,4,Consultancy,29994,41563,South,25-34
51,Male,28,Divorced,Master,Operations,Executive,4,Non-Travel,Full-Time,Pune,No,25-02-2018,8,4,7,56444,677328,7,15251,1,Yes,1,2,2,3,14,No,84,3,1,8,No,16,Yes,4,3,Referral,15109,69268,South,25-34
52,Female,33,Single,PhD,Marketing,Executive,2,Travel_Frequently,Full-Time,Delhi,Yes,08-12-2017,8.2,8,0,143274,1719288,10,30087,2,No,3,4,1,1,9,No,32,14,4,8,No,22,No,4,1,Referral,19127,42431,South,25-34
53,Male,53,Single,High School,Operations,Manager,5,Travel_Frequently,Contract,Mumbai,No,06-03-2023,3,6,9,69153,829836,18,10361,1,Yes,2,2,3,4,8,Yes,61,2,3,8,No,9,No,1,3,Campus,36015,53320,South,45-54
54,Female,48,Married,PhD,Operations,Analyst,3,Travel_Frequently,Contract,Mumbai,Yes,28-03-2022,3.9,2,8,122215,1466580,14,36877,2,No,2,4,3,4,9,Yes,19,13,4,10,No,29,Yes,1,3,Consultancy,34363,40049,South,45-54
55,Male,52,Single,Master,IT,Specialist,2,Non-Travel,Full-Time,Pune,Yes,15-08-2024,1.5,5,0,20661,247932,11,30027,0,No,1,3,2,1,4,Yes,4,11,2,6,No,28,No,2,1,Campus,14703,85128,West,45-54
56,Female,56,Married,Master,HR,Specialist,2,Non-Travel,Full-Time,Mumbai,No,26-03-2019,6.9,2,1,51585,619020,12,19342,0,Yes,2,4,4,4,7,No,44,13,2,4,Yes,13,Yes,2,2,Consultancy,39052,90135,East,55-64
57,Male,26,Single,Master,Sales,Manager,4,Travel_Frequently,Full-Time,Pune,Yes,01-10-2015,10.4,0,7,126625,1519500,16,32419,0,Yes,3,3,3,2,6,No,80,9,1,12,No,12,No,1,1,LinkedIn,48663,99530,West,25-34
58,Female,40,Single,Master,Marketing,Team Lead,4,Travel_Rarely,Full-Time,Ahmedabad,No,03-08-2019,6.6,7,5,102495,1229940,16,17658,0,No,2,2,2,1,4,No,29,0,3,5,No,6,Yes,1,3,LinkedIn,39856,29200,East,35-44
59,Female,44,Divorced,Master,Operations,Executive,1,Travel_Frequently,Full-Time,Ahmedabad,Yes,25-06-2023,2.7,7,1,139273,1671276,16,13605,2,No,2,1,4,4,10,No,8,17,1,3,Yes,5,Yes,2,3,Referral,48006,35577,East,35-44
60,Female,37,Married,PhD,Sales,Specialist,3,Travel_Rarely,Contract,Bangalore,Yes,25-03-2020,5.9,0,2,75409,904908,20,46733,0,No,1,1,2,2,2,No,64,5,3,11,No,1,Yes,1,4,LinkedIn,37208,86024,East,35-44
61,Female,24,Married,Master,Operations,Executive,2,Travel_Rarely,Full-Time,Delhi,Yes,10-04-2017,8.9,0,7,134044,1608528,11,26200,0,Yes,1,4,2,3,5,Yes,60,0,1,3,No,3,No,2,2,Campus,49778,96743,South,18-24
62,Female,29,Divorced,High School,HR,Executive,4,Travel_Rarely,Full-Time,Mumbai,Yes,04-04-2020,5.9,4,1,45537,546444,20,11556,2,No,4,3,3,4,6,No,43,12,1,9,No,11,Yes,4,3,LinkedIn,31627,59310,North,25-34
63,Male,24,Single,High School,Operations,Analyst,2,Travel_Frequently,Full-Time,Bangalore,No,16-10-2018,7.4,4,3,56914,682968,18,36378,0,Yes,4,3,4,4,4,No,18,1,1,6,No,26,Yes,2,3,Campus,39734,92588,East,18-24
64,Male,56,Married,Master,Operations,Manager,4,Travel_Rarely,Contract,Delhi,Yes,28-08-2023,2.5,6,5,38743,464916,13,37384,2,No,4,2,1,1,8,No,80,16,2,13,No,5,No,2,4,Campus,46451,27227,East,55-64
65,Male,56,Married,High School,HR,Team Lead,1,Non-Travel,Contract,Mumbai,Yes,24-01-2021,5.1,6,4,85681,1028172,21,41621,0,Yes,3,4,3,4,10,Yes,78,12,1,11,No,25,No,4,3,Campus,38482,52117,North,55-64
66,Male,59,Married,Master,Finance,Executive,2,Non-Travel,Full-Time,Bangalore,No,06-07-2016,9.6,4,0,118032,1416384,8,14210,0,No,1,3,2,1,4,Yes,49,1,4,7,No,12,Yes,4,1,Consultancy,44503,93794,South,55-64
67,Male,42,Married,Bachelor,Finance,Executive,1,Non-Travel,Contract,Bangalore,No,01-08-2019,6.6,5,9,65113,781356,8,47556,0,Yes,3,3,1,3,10,No,30,15,4,3,No,16,No,4,4,Campus,44447,92982,West,35-44
68,Male,40,Single,High School,Operations,Team Lead,4,Travel_Frequently,Contract,Mumbai,No,22-04-2024,1.8,6,0,49301,591612,20,10699,1,No,2,1,2,4,7,No,66,8,1,4,No,27,Yes,1,1,Campus,48067,62685,East,35-44
69,Male,26,Divorced,Bachelor,IT,Specialist,5,Travel_Frequently,Contract,Ahmedabad,No,28-11-2015,10.2,5,1,84977,1019724,17,34594,1,No,2,2,2,2,7,No,14,8,3,7,No,3,No,3,2,Campus,17373,75249,West,25-34
70,Male,53,Divorced,Bachelor,Sales,Team Lead,4,Non-Travel,Full-Time,Ahmedabad,No,18-07-2019,6.6,8,4,144865,1738380,6,48519,0,No,4,1,3,4,12,No,32,12,3,6,No,18,Yes,4,3,Referral,28268,97866,South,45-54
71,Male,51,Divorced,High School,IT,Executive,2,Travel_Rarely,Contract,Delhi,No,19-09-2021,4.4,7,8,112822,1353864,23,44936,2,Yes,1,4,2,2,7,No,16,0,4,6,No,7,No,1,1,Campus,44171,61779,North,45-54
72,Female,59,Married,Master,Marketing,Specialist,5,Non-Travel,Full-Time,Delhi,No,02-08-2020,5.6,5,6,32411,388932,9,38908,1,Yes,2,3,2,2,5,No,79,9,3,12,No,24,Yes,1,1,LinkedIn,32740,79353,South,55-64
73,Female,57,Single,PhD,Finance,Manager,3,Travel_Rarely,Contract,Delhi,Yes,21-03-2020,5.9,4,3,36052,432624,8,25121,1,No,3,1,1,4,6,No,21,9,1,3,No,9,No,1,4,LinkedIn,35000,84641,West,55-64
74,Female,41,Divorced,Master,HR,Analyst,1,Non-Travel,Full-Time,Bangalore,Yes,07-11-2017,8.3,7,2,62080,744960,9,30111,0,Yes,1,4,1,4,11,Yes,51,2,4,3,Yes,8,No,3,2,Consultancy,19866,90067,East,35-44
75,Female,25,Single,Bachelor,Operations,Executive,4,Travel_Rarely,Full-Time,Ahmedabad,Yes,06-01-2017,9.1,1,1,145426,1745112,7,11824,1,No,2,1,1,1,14,Yes,10,3,4,13,No,8,No,2,1,LinkedIn,49071,89519,West,18-24
76,Male,30,Divorced,High School,HR,Manager,1,Non-Travel,Contract,Bangalore,No,18-04-2023,2.8,8,1,115457,1385484,24,2461,0,No,4,3,2,1,3,No,32,6,1,14,No,9,Yes,2,1,LinkedIn,49933,35997,West,25-34
77,Male,43,Divorced,PhD,Operations,Analyst,1,Travel_Frequently,Contract,Pune,Yes,12-02-2016,10,1,1,75533,906396,19,24858,1,Yes,3,3,3,4,13,No,43,4,1,3,No,24,Yes,3,2,Campus,26406,71612,South,35-44
78,Female,57,Divorced,PhD,HR,Executive,1,Travel_Rarely,Full-Time,Ahmedabad,No,22-10-2021,4.3,7,2,29496,353952,14,44522,0,No,1,4,2,3,11,No,41,15,1,11,No,20,No,2,2,Referral,20805,55851,North,55-64
79,Female,40,Divorced,PhD,IT,Analyst,5,Travel_Frequently,Contract,Pune,No,26-05-2024,1.7,3,9,33944,407328,7,23705,0,No,1,2,4,3,10,No,46,3,4,11,Yes,23,Yes,4,1,Referral,13586,36087,North,35-44
80,Female,24,Married,PhD,HR,Executive,3,Non-Travel,Contract,Bangalore,Yes,06-06-2017,8.7,0,2,115286,1383432,17,541,1,No,1,3,4,4,13,No,94,16,3,3,No,18,Yes,4,1,Campus,35051,47386,East,18-24
81,Female,53,Single,Bachelor,Finance,Specialist,3,Non-Travel,Contract,Bangalore,Yes,07-09-2021,4.5,6,8,53787,645444,20,41796,0,No,1,2,2,3,11,Yes,94,12,2,3,No,27,Yes,3,1,Campus,27833,45122,South,45-54
82,Male,57,Single,High School,HR,Team Lead,4,Travel_Frequently,Contract,Bangalore,No,25-07-2019,6.6,6,6,114788,1377456,22,29312,0,No,2,1,2,2,12,Yes,31,19,4,11,No,4,Yes,2,4,Consultancy,47481,29557,West,55-64
83,Female,34,Married,PhD,Operations,Executive,1,Travel_Rarely,Contract,Bangalore,Yes,05-09-2024,1.5,3,7,54742,656904,15,2643,1,No,3,1,1,4,1,Yes,7,5,3,4,No,24,Yes,4,4,Campus,49110,85428,South,25-34
84,Female,34,Single,High School,HR,Team Lead,2,Travel_Rarely,Full-Time,Mumbai,Yes,13-11-2024,1.3,7,0,122263,1467156,23,22360,0,No,4,1,1,1,2,Yes,68,9,1,9,No,22,Yes,1,1,Consultancy,42316,27521,West,25-34
85,Male,42,Single,High School,HR,Executive,1,Travel_Frequently,Full-Time,Pune,No,07-12-2016,9.2,5,8,66760,801120,6,97,2,Yes,3,2,4,4,8,No,60,9,3,5,No,17,No,4,3,LinkedIn,22819,94905,East,35-44
86,Female,35,Single,Master,Operations,Specialist,4,Travel_Frequently,Full-Time,Pune,Yes,09-02-2016,10,7,9,98707,1184484,21,29118,1,Yes,4,2,3,4,1,No,99,5,3,6,No,23,Yes,3,2,Campus,42658,26852,East,25-34
87,Female,28,Single,PhD,Marketing,Team Lead,1,Non-Travel,Full-Time,Mumbai,No,12-08-2016,9.5,3,5,91947,1103364,16,14721,2,No,3,1,3,3,11,No,33,0,3,10,Yes,16,Yes,1,4,Referral,21205,75661,South,25-34
88,Female,31,Married,Master,Sales,Team Lead,5,Travel_Rarely,Contract,Pune,No,05-01-2021,5.1,3,5,145576,1746912,9,9752,2,Yes,4,1,4,2,14,No,5,2,1,14,No,29,Yes,4,2,Referral,10645,50930,West,25-34
89,Female,29,Single,PhD,HR,Analyst,4,Travel_Frequently,Contract,Pune,No,01-05-2015,10.8,7,9,50090,601080,5,25556,2,No,2,1,3,3,10,Yes,57,15,4,8,No,17,Yes,4,3,Referral,42602,94658,North,25-34
90,Female,22,Divorced,PhD,Finance,Manager,4,Travel_Rarely,Contract,Delhi,No,19-08-2024,1.5,9,8,149295,1791540,19,47246,2,Yes,3,1,1,1,4,No,76,16,3,11,Yes,15,No,3,1,Referral,17418,42746,East,18-24
91,Female,58,Married,PhD,Marketing,Analyst,3,Travel_Frequently,Full-Time,Delhi,No,03-07-2021,4.6,0,8,103297,1239564,12,23383,1,No,2,3,2,4,14,Yes,3,9,3,11,Yes,7,No,3,1,Campus,23947,99222,North,55-64
92,Female,34,Married,High School,Marketing,Specialist,1,Travel_Frequently,Full-Time,Ahmedabad,No,17-03-2015,10.9,3,8,72142,865704,18,29492,2,Yes,3,2,2,1,11,No,92,7,2,11,No,29,No,2,1,Consultancy,15374,43567,North,25-34
93,Female,32,Divorced,Master,Operations,Executive,5,Non-Travel,Full-Time,Pune,No,25-12-2016,9.2,3,4,71631,859572,7,7851,0,Yes,1,1,1,1,3,Yes,98,0,4,9,No,15,No,4,2,Consultancy,16317,84046,East,25-34
94,Female,49,Married,PhD,Marketing,Analyst,4,Travel_Rarely,Full-Time,Delhi,No,27-03-2020,5.9,6,6,46649,559788,8,21909,0,Yes,2,4,2,4,11,Yes,1,7,3,8,No,6,No,1,2,LinkedIn,16716,48933,South,45-54
95,Female,21,Single,High School,Marketing,Manager,3,Travel_Frequently,Full-Time,Pune,No,15-09-2024,1.4,7,0,132082,1584984,17,21180,1,Yes,2,1,2,4,4,No,97,6,1,7,No,17,No,2,2,Campus,37005,70952,West,18-24
96,Male,44,Single,Master,IT,Manager,5,Non-Travel,Contract,Delhi,Yes,10-04-2022,3.9,0,7,24648,295776,16,8210,0,Yes,1,4,1,4,13,No,92,4,4,11,Yes,13,Yes,3,1,Campus,11875,43377,South,35-44
97,Male,56,Married,High School,IT,Specialist,4,Travel_Rarely,Full-Time,Bangalore,No,30-11-2017,8.2,2,8,102909,1234908,11,5889,2,Yes,1,2,2,3,13,No,14,17,3,8,Yes,28,Yes,4,2,Campus,21777,50373,East,55-64
98,Female,37,Single,Bachelor,Finance,Analyst,3,Travel_Rarely,Full-Time,Pune,Yes,04-12-2024,1.2,9,4,91975,1103700,21,9342,2,Yes,3,4,1,2,5,No,18,3,3,9,No,9,Yes,2,2,Referral,46027,62849,West,35-44
99,Female,35,Single,Master,IT,Executive,3,Travel_Rarely,Contract,Bangalore,No,02-02-2020,6.1,0,7,99003,1188036,11,36129,0,Yes,4,1,4,1,4,Yes,29,9,4,4,No,28,Yes,3,3,Campus,21738,67498,North,25-34
100,Male,28,Married,PhD,Finance,Specialist,1,Non-Travel,Contract,Ahmedabad,Yes,18-05-2018,7.8,1,4,28767,345204,7,4652,1,Yes,2,2,3,4,10,Yes,50,5,3,7,Yes,29,Yes,2,4,LinkedIn,41778,47734,South,25-34
101,Male,49,Single,Master,Operations,Specialist,1,Travel_Rarely,Contract,Bangalore,Yes,30-08-2020,5.5,4,8,91675,1100100,21,1932,1,Yes,2,1,3,3,3,No,98,12,3,12,No,17,Yes,2,3,Consultancy,36132,94027,East,45-54
102,Male,48,Divorced,PhD,Marketing,Analyst,5,Non-Travel,Contract,Delhi,No,19-05-2015,10.8,2,0,95250,1143000,7,20219,1,No,2,1,4,2,5,Yes,85,7,4,7,No,17,Yes,4,2,Campus,20238,58975,East,45-54
103,Female,32,Married,High School,Operations,Analyst,4,Travel_Rarely,Full-Time,Bangalore,Yes,03-11-2023,2.3,9,5,44842,538104,21,882,2,No,4,4,4,4,6,Yes,55,3,2,13,No,1,No,4,3,Campus,22991,88344,East,25-34
104,Male,34,Divorced,Bachelor,Finance,Analyst,4,Non-Travel,Full-Time,Delhi,No,10-04-2018,7.9,8,7,50386,604632,24,39852,0,Yes,1,1,4,4,6,Yes,59,4,1,9,No,16,No,4,2,LinkedIn,15845,56674,South,25-34
